源文件路径,目标文件路径,操作,说明,是否canonical副本,时间
outputs/20260424_全工作目录整理与规范化/logs/source_check_log.json,outputs/工作包/20260424_2244_全工作目录整理与规范化/07_日志与错误/source_check_log.json,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/manifests/latest_outputs.yaml,outputs/工作包/20260424_2244_全工作目录整理与规范化/06_配置参数/latest_outputs.yaml,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/manifests/output_manifest.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/output_manifest.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/manifests/workspace_structure.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/workspace_structure.md,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/reports/skills_inventory.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/skills_inventory.md,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/reports/source_code_inventory.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/source_code_inventory.md,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/reports/workspace_inventory.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/workspace_inventory.md,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/tables/archive_manifest.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/archive_manifest.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/tables/raw_data_inventory.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/raw_data_inventory.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/tables/reference_inventory.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/reference_inventory.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/tables/skills_inventory.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/skills_inventory.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/tables/workspace_inventory.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/workspace_inventory.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化,archive/legacy_outputs_after_run_package_restructure/20260424_全工作目录整理与规范化,move,legacy top-level output directory moved after copying into run package,False,2026-04-24T23:56:53
outputs/_index/output_index.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/output_index.md,copy,historical package: 全工作目录整理与规范化,False,2026-04-24T23:56:53
